,price,fast,slow,ema_side,average,upper_band,lower_band,standard_deviation,bb_side,%K,%D,so_side,CCI,tenka_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,wr_side,tenka_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ic_side,RSI,rsi_side
2020-05-13 13:00:00,0.64727,0.6481379614327124,0.6483366211976938,-1.0,0.6497234999999993,0.655550401492365,0.6438965985076337,0.002913450746182846,-1.0,29.195501730103917,36.44752018454475,-1.0,-54.72035742338343,0.6494500000000001,0.6477675,0.64573375,0.6431024999999999,0.64294,1.0,0.6494500000000001,0.6477675,0.64573375,0.6431024999999999,0.64294,1.0,45.53748669076748,0.0
2020-05-13 15:00:00,0.64505,0.6473659710745343,0.6479257935479821,-1.0,0.6493429999999993,0.6553444476588346,0.6433415523411641,0.003000723829417617,-1.0,9.991349480968994,29.483852364475712,-1.0,-92.9619885087953,0.6483525,0.6484425,0.64515625,0.6431024999999999,0.64008,0.0,0.6483525,0.6484425,0.64515625,0.6431024999999999,0.64008,0.0,38.42142523547531,0.0
2020-05-13 19:00:00,0.645475,0.6468932283059007,0.6476194443544844,-1.0,0.6489544999999992,0.6549009955227205,0.6430080044772779,0.002973247761360649,-1.0,13.667820069204359,17.618223760092857,-1.0,-76.04248203707235,0.6477200000000001,0.649675,0.64509875,0.6431024999999999,0.64143,1.0,0.6477200000000001,0.649675,0.64509875,0.6431024999999999,0.64143,1.0,40.47611274336256,0.0
2020-05-14 01:00:00,0.64411,0.6461974212294255,0.647180763810174,-1.0,0.6485859999999992,0.6547695140496113,0.6424024859503872,0.003091757024806022,-1.0,1.8598615916951986,8.506343713956616,-1.0,-94.07089267220117,0.6468499999999999,0.649675,0.6449225000000001,0.6431024999999999,0.643915,0.0,0.6468499999999999,0.649675,0.6449225000000001,0.6431024999999999,0.643915,0.0,36.02186863941682,0.0
2020-05-14 05:00:00,0.64365,0.645560565922069,0.6467394183339022,-1.0,0.6480704999999992,0.6540929354709492,0.6420480645290493,0.0030112177354749926,-1.0,0.0,5.175893886966952,-1.0,-95.38932570618526,0.64662,0.6495525,0.64519375,0.645065,0.646435,1.0,0.64662,0.6495525,0.64519375,0.645065,0.646435,1.0,34.543722282421,0.0
2020-05-14 09:00:00,0.64234,0.6447554244415518,0.6461894910421645,-1.0,0.6475584999999993,0.6537003043767085,0.6414166956232901,0.003070902188354595,-1.0,0.0,0.6199538638988322,-1.0,-110.42063682189143,0.645965,0.6488975,0.64519375,0.645065,0.64513,1.0,0.645965,0.6488975,0.64519375,0.645065,0.64513,1.0,30.43934002200689,0.0
2020-05-14 13:00:00,0.642115,0.6440953183311638,0.645680179661894,-1.0,0.6468914999999993,0.65231345545922,0.6414695445407785,0.002710977729610392,-1.0,0.0,4.326909201305777e-13,-1.0,-114.48652560408867,0.6458524999999999,0.648785,0.64520625,0.6455649999999999,0.64874,-1.0,0.6458524999999999,0.648785,0.64520625,0.6455649999999999,0.64874,-1.0,29.73907055795206,1.0
2020-05-14 17:00:00,0.6433249999999999,0.6439027387483728,0.6453857822041572,-1.0,0.6464887499999993,0.6517101893371725,0.641267310662826,0.0026107196685866137,-1.0,12.68343815513558,4.227812718378959,-1.0,-78.74309136396667,0.6458524999999999,0.648785,0.646255,0.6455649999999999,0.65266,1.0,0.6458524999999999,0.648785,0.646255,0.6455649999999999,0.65266,1.0,38.516003939534414,0.0
2020-05-14 23:00:00,0.646285,0.6444983040612796,0.6454981844286376,-1.0,0.6464382499999993,0.6516470428305677,0.6412294571694309,0.002604396415284198,-1.0,43.71069182389948,18.798043326345454,-1.0,-3.8235250326959767,0.6446925,0.648785,0.6465474999999999,0.6455649999999999,0.653245,0.0,0.6446925,0.648785,0.6465474999999999,0.6455649999999999,0.653245,0.0,54.54386762238766,0.0
2020-05-15 03:00:00,0.6460349999999999,0.6448824780459597,0.645565286375058,-1.0,0.6462949999999993,0.6513812481262494,0.6412087518737491,0.002543124063125061,-1.0,41.09014675052334,32.49475890985323,-1.0,-6.64318496133493,0.6442,0.648785,0.6465474999999999,0.6455649999999999,0.6514800000000001,0.0,0.6442,0.648785,0.6465474999999999,0.6455649999999999,0.6514800000000001,0.0,53.19254050677742,0.0
2020-05-15 07:00:00,0.6461399999999999,0.6451968585344697,0.6456371255781758,-1.0,0.6464072499999993,0.6513743743946346,0.641440125605364,0.0024835621973176526,-1.0,42.19077568134117,42.33053808525509,-1.0,-6.9921899317508105,0.6442,0.648785,0.6472425,0.6456725,0.6539600000000001,0.0,0.6442,0.648785,0.6472425,0.6456725,0.6539600000000001,0.0,53.747860848485104,0.0
2020-05-15 11:00:00,0.644245,0.6449588939008523,0.6454631098809038,-1.0,0.6462897499999993,0.6513439675212169,0.6412355324787817,0.0025271087606087987,-1.0,22.327044025156887,35.20265548567423,-1.0,-52.57591348974576,0.6442,0.648785,0.6478637500000001,0.6464725,0.6525799999999999,1.0,0.6442,0.648785,0.6478637500000001,0.6464725,0.6525799999999999,1.0,43.09977906752983,0.0
2020-05-15 13:00:00,0.6413500000000001,0.6440566704256392,0.6449489711457909,-1.0,0.6459242499999993,0.6512877714879575,0.6405607285120412,0.002681760743979058,-1.0,0.0,21.50593990216645,-1.0,-110.83333746763952,0.6438175,0.6465025,0.648915,0.6464725,0.655455,1.0,0.6438175,0.6465025,0.648915,0.6464725,0.655455,1.0,31.944250413540374,0.0
2020-05-15 19:00:00,0.64147,0.6434100028192293,0.644514099752567,-1.0,0.6454149999999993,0.6504279621983204,0.6404020378016781,0.0025064810991605557,-1.0,1.3274336283174646,7.884825884491882,-1.0,-102.27114473525528,0.6438175,0.6465025,0.648915,0.6475925,0.6513800000000001,1.0,0.6438175,0.6465025,0.648915,0.6475925,0.6513800000000001,1.0,32.77643039966527,0.0
2020-05-18 01:00:00,0.64453,0.643690002114422,0.6445160872834962,-1.0,0.6451219999999993,0.6495933436461309,0.6406506563538678,0.0022356718230657556,-1.0,38.592233009708664,13.306555546009141,-1.0,-17.206169506003214,0.6438175,0.6465025,0.6494562500000001,0.6475925,0.647295,1.0,0.6438175,0.6465025,0.6494562500000001,0.6475925,0.647295,1.0,50.5630133892336,0.0
2020-05-18 07:00:00,0.644545,0.6439037515858165,0.6445197013730593,-1.0,0.6449869999999993,0.6493556581465934,0.6406183418534053,0.0021843290732970256,-1.0,38.77427184465997,26.231312827562466,-1.0,-13.148455676280465,0.6438175,0.6465025,0.64955875,0.6475925,0.6489,1.0,0.6438175,0.6465025,0.64955875,0.6475925,0.6489,1.0,50.636887323644146,0.0
2020-05-18 11:00:00,0.6473150000000001,0.6447565636893623,0.6448691137014269,-1.0,0.6449834999999994,0.6493445733772544,0.6406224266227444,0.0021805366886275216,-1.0,72.39077669902986,49.91909385113326,-1.0,69.47724118699237,0.6443325000000001,0.6465025,0.64872125,0.6475925,0.643895,1.0,0.6443325000000001,0.6465025,0.64872125,0.6475925,0.643895,1.0,62.55837271958201,0.0
2020-05-18 13:00:00,0.649735,0.6460011727670217,0.6454773494887485,1.0,0.6451019999999994,0.6498289264857616,0.6403750735142372,0.0023634632428811394,-1.0,100.0,70.3883495145637,-1.0,127.37493967950068,0.6455425,0.6465025,0.64872125,0.6475925,0.646595,1.0,0.6455425,0.6465025,0.64872125,0.6475925,0.646595,1.0,69.8889372559911,0.0
2020-05-18 17:00:00,0.65156,0.6473908795752663,0.646237680802655,1.0,0.6453067499999994,0.6507289767337129,0.6398845232662859,0.00271111336685678,-1.0,100.0,90.79692556634372,-1.0,149.87481399532047,0.646455,0.6465025,0.64872125,0.6475925,0.64866,1.0,0.646455,0.6465025,0.64872125,0.6475925,0.64866,1.0,74.27205566179254,-1.0
2020-05-18 23:00:00,0.65417,0.6490856596814497,0.6472292207023231,1.0,0.6455357499999994,0.651957040583036,0.6391144594169628,0.0032106452915183063,-1.0,100.0,100.00000000000044,-1.0,174.74422622349863,0.6477600000000001,0.6477600000000001,0.64872125,0.6475925,0.651655,1.0,0.6477600000000001,0.6477600000000001,0.64872125,0.6475925,0.651655,1.0,79.25509314030617,-1.0
2020-05-19 03:00:00,0.6527000000000001,0.6499892447610872,0.6479130681145329,1.0,0.6458072499999993,0.6529207508787361,0.6386937491212624,0.003556750439368455,-1.0,88.53354134165384,96.17784711388505,-1.0,125.92433808226107,0.6477600000000001,0.6477600000000001,0.64872125,0.6475925,0.65039,1.0,0.6477600000000001,0.6477600000000001,0.64872125,0.6475925,0.65039,1.0,70.3946860370771,-1.0
2020-05-19 07:00:00,0.655695,0.6514156835708154,0.6488858096002162,1.0,0.6463394999999993,0.6546405583061301,0.6380384416938685,0.004150529153065403,-1.0,100.0,96.17784711388505,-1.0,146.46507490178897,0.6485825000000001,0.6485225000000001,0.64777125,0.6475925,0.6472450000000001,1.0,0.6485825000000001,0.6485225000000001,0.64777125,0.6475925,0.6472450000000001,1.0,76.55613782029953,-1.0
2020-05-19 11:00:00,0.65468,0.6522317626781114,0.6496100834001892,1.0,0.6467997499999993,0.6558453878852885,0.6377541121147102,0.004522818942644533,-1.0,92.92436388985715,93.81930174383744,-1.0,113.21431332937358,0.6501125000000001,0.6485225000000001,0.64777125,0.6475925,0.647385,1.0,0.6501125000000001,0.6485225000000001,0.64777125,0.6475925,0.647385,1.0,70.79469543696158,-1.0
2020-05-19 13:00:00,0.656955,0.6534125720085836,0.6505281979751656,1.0,0.6474419999999994,0.6574095721217232,0.6374744278782756,0.004983786060861937,-1.0,100.0,97.64145462995282,-1.0,124.03054420857578,0.6507499999999999,0.6491525,0.64777125,0.6475925,0.647365,1.0,0.6507499999999999,0.6491525,0.64777125,0.6475925,0.647365,1.0,75.5528881955754,-1.0
2020-05-19 19:00:00,0.653705,0.6534856790064377,0.6509252982282699,1.0,0.6479447499999994,0.6581089344115378,0.637780565588461,0.00508209220576919,-1.0,79.17334187760332,90.6992352558206,-1.0,73.64942081787608,0.652135,0.6491525,0.64777125,0.6475925,0.647465,1.0,0.652135,0.6491525,0.64777125,0.6475925,0.647465,1.0,59.55831774283574,0.0
2020-05-20 01:00:00,0.6543650000000001,0.6537055092548283,0.6513552609497363,1.0,0.6485459999999994,0.6587355002822385,0.6383564997177603,0.005094750141119562,-1.0,83.40275552707534,87.52536580155999,-1.0,74.2157380590558,0.653345,0.6491525,0.64844625,0.6475925,0.64959,1.0,0.653345,0.6491525,0.64844625,0.6475925,0.64959,1.0,61.46963639908205,0.0
2020-05-20 07:00:00,0.65436,0.6538691319411212,0.6517308533310192,1.0,0.6491582499999994,0.6591989413482952,0.6391175586517036,0.005020345674147902,-1.0,83.37071451457915,81.98227063975304,-1.0,67.3265558109494,0.6542574999999999,0.6491525,0.6486087500000001,0.6475925,0.64727,1.0,0.6542574999999999,0.6491525,0.6486087500000001,0.6475925,0.64727,1.0,61.44425245358209,0.0
2020-05-20 11:00:00,0.657885,0.6548730989558408,0.6525001216646419,1.0,0.6498862499999994,0.6602361977656518,0.6395363022343471,0.005174973882826166,-1.0,100.0,88.92449001388526,-1.0,100.43486599262451,0.6552925,0.6496175000000001,0.6483975,0.6475925,0.64505,1.0,0.6552925,0.6496175000000001,0.6483975,0.6475925,0.64505,1.0,71.13917339247688,-1.0
2020-05-20 15:00:00,0.6588799999999999,0.6558748242168805,0.6532976064565617,1.0,0.6505159999999994,0.6614301553040861,0.6396018446959127,0.005457077652043327,-1.0,100.0,94.4569048381935,-1.0,99.59199544523251,0.65579,0.650115,0.6486975,0.6475375000000001,0.645475,1.0,0.65579,0.650115,0.6486975,0.6475375000000001,0.645475,1.0,73.32386395967748,-1.0
2020-05-20 23:00:00,0.657775,0.6563498681626604,0.6538572806494914,1.0,0.6511029999999993,0.6622503429121787,0.63995565708782,0.005573671456089651,-1.0,93.69652025099873,97.89884008366668,-1.0,77.7830942983686,0.6562925,0.650115,0.6482625,0.6475375000000001,0.64411,1.0,0.6562925,0.650115,0.6482625,0.6475375000000001,0.64411,1.0,66.84039712688084,0.0
2020-05-21 03:00:00,0.6564949999999999,0.6563861511219953,0.6541869955683051,1.0,0.6516207499999993,0.6627598456882366,0.640481654311762,0.005569547844118645,-1.0,86.39475185396466,93.36375736832156,-1.0,56.86674952780271,0.6562925,0.650115,0.64808625,0.6475375000000001,0.64365,1.0,0.6562925,0.650115,0.64808625,0.6475375000000001,0.64365,1.0,59.775864799421896,0.0
2020-05-21 09:00:00,0.6568050000000001,0.6564908633414964,0.654514246122267,1.0,0.6522487499999994,0.663065259083419,0.6414322409165798,0.005408254541709773,-1.0,88.16314888762209,89.41814033086224,-1.0,54.7420384784666,0.6562925,0.650115,0.64743125,0.6475375000000001,0.64234,-1.0,0.6562925,0.650115,0.64743125,0.6475375000000001,0.64234,-1.0,60.92982126334176,0.0
2020-05-21 13:00:00,0.656785,0.6565643975061223,0.6547980903569838,1.0,0.6530204999999993,0.6627659316990924,0.6432750683009063,0.004872715849546515,-1.0,87.96668581275148,87.50819551811315,-1.0,50.200351568423045,0.6562925,0.650115,0.6473187499999999,0.6475375000000001,0.642115,-1.0,0.6562925,0.650115,0.6473187499999999,0.6475375000000001,0.642115,-1.0,60.79997712970863,0.0
2020-05-21 17:00:00,0.656385,0.6565195481295917,0.6549964540623608,1.0,0.6537662499999993,0.6620324479622839,0.6455000520377148,0.00413309898114229,-1.0,82.6132404181189,86.24769170616457,-1.0,41.1707499335372,0.65662,0.650115,0.6473187499999999,0.6475375000000001,0.6433249999999999,-1.0,0.65662,0.650115,0.6473187499999999,0.6475375000000001,0.6433249999999999,-1.0,57.95011010208074,0.0
